Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2019–2020,   Eating and feeding disorders,Male,Agegroup:5–24years–Rate,2.9,,,Hospitalization
2019–2020,   Eating and feeding disorders,Total,Agegroup:5–24years–Rate,14.9,,,Hospitalization
2019–2020,   Tic disorders,Female,Agegroup:5–24years–Rate,0.5,,,Hospitalization
2019–2020,   Tic disorders,Male,Agegroup:5–24years–Rate,1.2,,,Hospitalization
2019–2020,   Tic disorders,Total,Agegroup:5–24years–Rate,0.9,,,Hospitalization
2019–2020,   ADHD,Female,Agegroup:5–24years–Rate,9.7,,,Hospitalization
2019–2020,   ADHD,Male,Agegroup:5–24years–Rate,16.5,,,Hospitalization
2019–2020,   ADHD,Total,Agegroup:5–24years–Rate,13.2,,,Hospitalization
2020–2021,Neurocognitive disorders,Female,Agegroup:5–24years–Rate,1.1,,,Hospitalization
2020–2021,Neurocognitive disorders,Male,Agegroup:5–24years–Rate,1.1,,,Hospitalization
2020–2021,Neurocognitive disorders,Total,Agegroup:5–24years–Rate,1.1,,,Hospitalization
2020–2021,Substance-related disorders,Female,Agegroup:5–24years–Rate,54.5,,,Hospitalization
2020–2021,Substance-related disorders,Male,Agegroup:5–24years–Rate,81.6,,,Hospitalization
2020–2021,Substance-related disorders,Total,Agegroup:5–24years–Rate,68.5,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:5–24years–Rate,43.7,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:5–24years–Rate,94.6,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:5–24years–Rate,69.9,,,Hospitalization
2020–2021,Mood disorders,Female,Agegroup:5–24years–Rate,173.9,,,Hospitalization
2020–2021,Mood disorders,Male,Agegroup:5–24years–Rate,81.7,,,Hospitalization
2020–2021,Mood disorders,Total,Agegroup:5–24years–Rate,126.4,,,Hospitalization
2020–2021,Anxiety disorders,Female,Agegroup:5–24years–Rate,51.1,,,Hospitalization
2020–2021,Anxiety disorders,Male,Agegroup:5–24years–Rate,19.6,,,Hospitalization
2020–2021,Anxiety disorders,Total,Agegroup:5–24years–Rate,34.9,,,Hospitalization
2020–2021,Personality disorders,Female,Agegroup:5–24years–Rate,64.9,,,Hospitalization
2020–2021,Personality disorders,Male,Agegroup:5–24years–Rate,16.6,,,Hospitalization
2020–2021,Personality disorders,Total,Agegroup:5–24years–Rate,40.0,,,Hospitalization
2020–2021,Other disorders,Female,Agegroup:5–24years–Rate,191.9,,,Hospitalization
2020–2021,Other disorders,Male,Agegroup:5–24years–Rate,92.9,,,Hospitalization
2020–2021,Other disorders,Total,Agegroup:5–24years–Rate,140.9,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:5–24years–Rate,104.1,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:5–24years–Rate,42.6,,,Hospitalization
