ref_date_raw,start_year,geo,sex,indicator,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,statistic,uom,scalar_factor
2021-04,2021,Atlantic Region,"Total, all persons",Good perceived health,554000.0,number,,True,v1427746983,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,"Total, all persons",Good perceived health,660000.0,number,,True,v1427746984,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,13.2,percent,,False,v1427746985,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,11.5,percent,,False,v1427746986,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,15.1,percent,,False,v1427746987,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,271000.0,number,,True,v1427746988,2021-04,2016A00011,Number of persons,Number,thousands
2021-04,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,234000.0,number,,True,v1427746989,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,"Total, all persons",Fair or poor perceived health,309000.0,number,,True,v1427746990,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Men,Excellent or very good perceived health,57.6,percent,,False,v1427746991,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,Men,Excellent or very good perceived health,53.2,percent,,False,v1427746992,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Men,Excellent or very good perceived health,61.9,percent,,False,v1427746993,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Men,Excellent or very good perceived health,580000.0,number,,True,v1427746994,2021-04,2016A00011,Number of persons,Number,thousands
2021-04,2021,Atlantic Region,Men,Excellent or very good perceived health,536000.0,number,,True,v1427746995,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Men,Excellent or very good perceived health,625000.0,number,,True,v1427746996,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Men,Good perceived health,28.6,percent,,False,v1427746997,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,Men,Good perceived health,24.7,percent,,False,v1427746998,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Men,Good perceived health,32.8,percent,,False,v1427746999,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Men,Good perceived health,288000.0,number,,True,v1427747000,2021-04,2016A00011,Number of persons,Number,thousands
2021-04,2021,Atlantic Region,Men,Good perceived health,247000.0,number,,True,v1427747001,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Men,Good perceived health,329000.0,number,,True,v1427747002,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Men,Fair or poor perceived health,13.8,percent,,False,v1427747003,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,Men,Fair or poor perceived health,11.2,percent,,False,v1427747004,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Men,Fair or poor perceived health,16.8,percent,,False,v1427747005,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Men,Fair or poor perceived health,139000.0,number,,True,v1427747006,2021-04,2016A00011,Number of persons,Number,thousands
2021-04,2021,Atlantic Region,Men,Fair or poor perceived health,111000.0,number,,True,v1427747007,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Men,Fair or poor perceived health,167000.0,number,,True,v1427747008,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Women,Excellent or very good perceived health,57.0,percent,,False,v1427747009,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,Women,Excellent or very good perceived health,53.4,percent,,False,v1427747010,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Women,Excellent or very good perceived health,60.5,percent,,False,v1427747011,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Women,Excellent or very good perceived health,597000.0,number,,True,v1427747012,2021-04,2016A00011,Number of persons,Number,thousands
2021-04,2021,Atlantic Region,Women,Excellent or very good perceived health,559000.0,number,,True,v1427747013,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Women,Excellent or very good perceived health,635000.0,number,,True,v1427747014,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Women,Good perceived health,30.4,percent,,False,v1427747015,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,Women,Good perceived health,27.2,percent,,False,v1427747016,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Women,Good perceived health,33.8,percent,,False,v1427747017,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Women,Good perceived health,319000.0,number,,True,v1427747018,2021-04,2016A00011,Number of persons,Number,thousands
2021-04,2021,Atlantic Region,Women,Good perceived health,284000.0,number,,True,v1427747019,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Women,Good perceived health,354000.0,number,,True,v1427747020,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Women,Fair or poor perceived health,12.6,percent,,False,v1427747021,2021-04,2016A00011,Percentage of persons,Percent,units
2021-04,2021,Atlantic Region,Women,Fair or poor perceived health,10.4,percent,,False,v1427747022,2021-04,2016A00011,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Women,Fair or poor perceived health,15.2,percent,,False,v1427747023,2021-04,2016A00011,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Atlantic Region,Women,Fair or poor perceived health,133000.0,number,,True,v1427747024,2021-04,2016A00011,Number of persons,Number,thousands
2021-04,2021,Atlantic Region,Women,Fair or poor perceived health,107000.0,number,,True,v1427747025,2021-04,2016A00011,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Atlantic Region,Women,Fair or poor perceived health,158000.0,number,,True,v1427747026,2021-04,2016A00011,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,53.1,percent,,False,v1427747027,2021-04,2016A000210,Percentage of persons,Percent,units
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,47.0,percent,,False,v1427747028,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,59.0,percent,,False,v1427747029,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,236000.0,number,,True,v1427747030,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,209000.0,number,,True,v1427747031,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Excellent or very good perceived health,263000.0,number,,True,v1427747032,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,33.0,percent,,False,v1427747033,2021-04,2016A000210,Percentage of persons,Percent,units
