ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",55.8,,,percent,
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",49.7,,,percent,
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",10.4,,,percent,
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",14.6,,,percent,
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",17.2,,,percent,
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.2,,,percent,
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.6,,,percent,
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.0,,,percent,
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over",Mood disorder,12.2,,,percent,
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over",Mood disorder,10.7,,,percent,
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over",Mood disorder,13.7,,,percent,
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over",Anxiety disorder,12.4,,,percent,
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over",Anxiety disorder,12.9,,,percent,
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",26.0,,,percent,
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",31.0,,,percent,
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Cannabis use, past 12 months",24.1,,,percent,
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over",Heavy drinking,21.3,,,percent,
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over",Heavy drinking,22.7,,,percent,
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over",Heavy drinking,22.5,,,percent,
2019/2020,2019,Prince Edward Island,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",75.4,,,percent,
2021/2022,2021,Prince Edward Island,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",72.7,,,percent,
2023/2024,2023,Prince Edward Island,Both sexes,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",67.4,,,percent,
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",68.0,,,percent,
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",56.2,,,percent,
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, very good or excellent",53.7,,,percent,
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, fair or poor",9.3,,,percent,
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, fair or poor",11.8,,,percent,
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Perceived mental health, fair or poor",16.9,,,percent,
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",17.2,,,percent,
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",18.1,,,percent,
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",15.9,,,percent,
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over",Mood disorder,6.8,,,percent,
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over",Mood disorder,7.5,,,percent,
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over",Mood disorder,10.7,,,percent,
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over",Anxiety disorder,10.3,,,percent,
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over",Anxiety disorder,9.4,,,percent,
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Cannabis use, past 12 months",32.0,,,percent,
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Cannabis use, past 12 months",38.9,,,percent,
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Cannabis use, past 12 months",30.9,,,percent,
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over",Heavy drinking,29.9,,,percent,
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over",Heavy drinking,27.1,,,percent,
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over",Heavy drinking,25.6,,,percent,
2019/2020,2019,Prince Edward Island,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",79.2,,,percent,
2021/2022,2021,Prince Edward Island,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",75.9,,,percent,
2023/2024,2023,Prince Edward Island,Males,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",69.0,,,percent,
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",58.8,,,percent,
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",55.5,,,percent,
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, very good or excellent",46.0,,,percent,
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, fair or poor",11.4,,,percent,
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, fair or poor",17.3,,,percent,
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over","Perceived mental health, fair or poor",17.4,,,percent,
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.0,,,percent,
