ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag,vector,ref_date,dguid,uom,scalar_factor
2015,2015,Alberta,Males,18 to 34 years,Suicidal thoughts (15 years and over),,,103200.0,,,v111451667,2015,2016A000248,Number,units
2015,2015,Alberta,Males,18 to 34 years,Suicidal thoughts (15 years and over),15.1,,,percent,,v111451668,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,18 to 34 years,Suicidal thoughts (15 years and over),11.4,,,percent,,v111451669,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,18 to 34 years,Suicidal thoughts (15 years and over),18.9,,,percent,,v111451670,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,,119700.0,,,,v111451694,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,,,167600.0,,,v111451695,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,16.4,,,percent,,v111451696,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,13.7,,,percent,,v111451697,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,Consultation with a health professional about emotional or mental health,19.1,,,percent,,v111451698,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,"Positive mental health, flourishing",,695900.0,,,,v111451701,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,35 to 49 years,"Positive mental health, flourishing",,,751200.0,,,v111451702,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,35 to 49 years,"Positive mental health, flourishing",82.8,,,percent,,v111451703,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,"Positive mental health, flourishing",79.7,,,percent,,v111451704,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,"Positive mental health, flourishing",85.9,,,percent,,v111451705,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,Suicidal thoughts (15 years and over),,99300.0,,,,v111451708,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,35 to 49 years,Suicidal thoughts (15 years and over),,,145300.0,,,v111451709,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,35 to 49 years,Suicidal thoughts (15 years and over),14.0,,,percent,,v111451710,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,Suicidal thoughts (15 years and over),11.4,,,percent,,v111451711,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,35 to 49 years,Suicidal thoughts (15 years and over),16.6,,,percent,,v111451712,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,Consultation with a health professional about emotional or mental health,,67800.0,,,,v111451736,2015,2016A000248,Number,units
