ref_date_raw,start_year,geo,sex,age_group,indicator,characteristic,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,uom,scalar_factor
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other","Low 95% confidence interval, percent",2.8,percent,,False,v114653349,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, other","High 95% confidence interval, percent",3.3,percent,,False,v114653350,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none",Number of persons,3435800.0,number,,False,v114653352,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none","Low 95% confidence interval, number of persons",3328700.0,number,,False,v114653353,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none","High 95% confidence interval, number of persons",3570800.0,number,,False,v114653354,2016,,Number,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none",Percent,11.7,percent,,False,v114653355,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none","Low 95% confidence interval, percent",11.3,percent,,False,v114653356,2016,,Percent,units
2016,2016,Canada (excluding territories),Both sexes,"Total, 12 years and over","Main source of stress in day-to-day life, none","High 95% confidence interval, percent",12.2,percent,,False,v114653357,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",Number of persons,12163900.0,number,,False,v114653359,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, number of persons",12048700.0,number,,False,v114653360,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, number of persons",12305200.0,number,,False,v114653361,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",Percent,84.1,percent,,False,v114653362,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, percent",83.3,percent,,False,v114653363,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, percent",84.9,percent,,False,v114653364,2016,,Percent,units
